Podio por especialidad en cada torneo:
Criterio de desempate: ante igual marca, se ordena alfabéticamente por deportista.
Especialidad,Torneo,Deportista,Marca
carrera 100 m,Torneo de Denmark,Andre DE GRASSE,9791
carrera 100 m,Torneo de Djibouti,Divine ODUDURU,9761
carrera 100 m,Torneo de Djibouti,Isiah YOUNG,9774
carrera 100 m,Torneo de Djibouti,Arthur CISSÉ,9793
carrera 100 m,Torneo de Dominica,Andre DE GRASSE,9777
carrera 100 m,Torneo de Dominica,Arthur CISSÉ,9795
carrera 100 m,Torneo de Dominica,Tebogo MAMATHU,9821
carrera 100 m,Torneo de Dominican Republic,Mario BURKE,9810
carrera 100 m,Torneo de Dominican Republic,Twanisha TERRY,9831
carrera 100 m,Torneo de Dominican Republic,Dina ASHER-SMITH,9922
carrera 100 m,Torneo de Ecuador,Andre DE GRASSE,9767
carrera 100 m,Torneo de Ecuador,Elaine THOMPSON,9821
carrera 100 m,Torneo de Ecuador,Zharnel HUGHES,9841
carrera 100 m,Torneo de Egypt,Zharnel HUGHES,9773
carrera 100 m,Torneo de Egypt,Justin GATLIN,9787
carrera 100 m,Torneo de Egypt,Manqi GE,9794
carrera 100 m,Torneo de El Salvador,Aleia HOBBS,9824
carrera 100 m,Torneo de El Salvador,Mujinga KAMBUNDJI,9862
carrera 100 m,Torneo de El Salvador,Michael RODGERS,9870
carrera 100 m,Torneo de Equatorial Guinea,Michael RODGERS,9769
carrera 100 m,Torneo de Equatorial Guinea,Murielle AHOURÉ,9770
carrera 100 m,Torneo de Equatorial Guinea,Marie-Josée TA LOU,9777
carrera 100 m,Torneo de Eritrea,Reece PRESCOD,9791
carrera 100 m,Torneo de Eritrea,Tebogo MAMATHU,9804
carrera 100 m,Torneo de Eritrea,Abdul Hakim SANI BROWN,9843
carrera 100 m,Torneo de Estonia,Briana WILLIAMS,9792
carrera 100 m,Torneo de Estonia,Yuki KOIKE,9795
carrera 100 m,Torneo de Estonia,Zharnel HUGHES,9800
carrera 100 m,Torneo de Ethiopia,Andre DE GRASSE,9779
carrera 100 m,Torneo de Ethiopia,Raymond EKEVWO,9801
carrera 100 m,Torneo de Ethiopia,Kiara GRANT,9825
carrera 100 m,Torneo de Fiji,Noah LYLES,9813
carrera 100 m,Torneo de Fiji,Divine ODUDURU,9815
carrera 100 m,Torneo de Fiji,Carina HORN,9897
carrera 100 m,Torneo de Finland,Dafne SCHIPPERS,9793
carrera 100 m,Torneo de Finland,Tebogo MAMATHU,9794
carrera 100 m,Torneo de Finland,Mujinga KAMBUNDJI,9831
carrera 100 m,Torneo de France,Blessing OKAGBARE,9783
carrera 100 m,Torneo de France,Elaine THOMPSON,9822
carrera 100 m,Torneo de France,Arthur CISSÉ,9850
carrera 100 m,Torneo de French Guiana,Mario BURKE,9811
carrera 100 m,Torneo de French Guiana,Mujinga KAMBUNDJI,9825
carrera 100 m,Torneo de French Guiana,Elaine THOMPSON,9826
carrera 100 m,Torneo de Gabon,Tyquendo TRACEY,9787
carrera 100 m,Torneo de Gabon,Michael RODGERS,9805
carrera 100 m,Torneo de Gabon,Roberto SKYERS,9815
carrera 100 m,Torneo de Gambia,Yuki KOIKE,9764
carrera 100 m,Torneo de Gambia,Teahna DANIELS,9825
carrera 100 m,Torneo de Gambia,Divine ODUDURU,9831
carrera 100 m,Torneo de Georgia,Arthur CISSÉ,9760
carrera 100 m,Torneo de Georgia,ShaCarri RICHARDSON,9789
carrera 100 m,Torneo de Georgia,Kiara GRANT,9802
carrera 100 m,Torneo de Germany,Jonielle SMITH,9763
carrera 100 m,Torneo de Germany,Yongli WEI,9820
carrera 100 m,Torneo de Germany,Teahna DANIELS,9856
carrera 100 m,Torneo de Ghana,Twanisha TERRY,9788
carrera 100 m,Torneo de Ghana,Shelly-Ann FRASER-PRYCE,9826
carrera 100 m,Torneo de Ghana,Mujinga KAMBUNDJI,9896
carrera 100 m,Torneo de Greece,Kiara PARKER,9765
carrera 100 m,Torneo de Greece,Kiara GRANT,9769
carrera 100 m,Torneo de Greece,Abdul Hakim SANI BROWN,9793
carrera 100 m,Torneo de Grenada,Kiara GRANT,9813
carrera 100 m,Torneo de Grenada,Andre DE GRASSE,9818
carrera 100 m,Torneo de Grenada,Elaine THOMPSON,9846
carrera 100 m,Torneo de Guatemala,Shelly-Ann FRASER-PRYCE,9807
carrera 100 m,Torneo de Guatemala,Reece PRESCOD,9810
carrera 100 m,Torneo de Guatemala,Marie-Josée TA LOU,9837
carrera 100 m,Torneo de Guinea,Cravon GILLESPIE,9779
carrera 100 m,Torneo de Guinea,Dafne SCHIPPERS,9797
carrera 100 m,Torneo de Guinea,Arthur CISSÉ,9799
carrera 100 m,Torneo de Guinea-Bissau,Blessing OKAGBARE,9760
carrera 100 m,Torneo de Guinea-Bissau,Manqi GE,9761
carrera 100 m,Torneo de Guinea-Bissau,Carina HORN,9800
carrera 100 m,Torneo de Guyana,Jonielle SMITH,9776
carrera 100 m,Torneo de Guyana,Tynia GAITHER,9822
carrera 100 m,Torneo de Guyana,Marie-Josée TA LOU,9839
carrera 100 m,Torneo de Haiti,Christian COLEMAN,9777
carrera 100 m,Torneo de Haiti,Andre DE GRASSE,9872
carrera 100 m,Torneo de Haiti,Justin GATLIN,9901
carrera 100 m,Torneo de Honduras,Christian COLEMAN,9769
carrera 100 m,Torneo de Honduras,Briana WILLIAMS,9771
carrera 100 m,Torneo de Honduras,Blessing OKAGBARE,9789
carrera 100 m,Torneo de Hungary,Noah LYLES,9767
carrera 100 m,Torneo de Hungary,Aaron BROWN,9798
carrera 100 m,Torneo de Hungary,Tebogo MAMATHU,9798
carrera 100 m,Torneo de Iceland,Dafne SCHIPPERS,9816
carrera 100 m,Torneo de Iceland,Mario BURKE,9825
carrera 100 m,Torneo de Iceland,Kiara PARKER,9872
carrera 100 m,Torneo de India,Andre DE GRASSE,9770
carrera 100 m,Torneo de India,Isiah YOUNG,9793
carrera 100 m,Torneo de India,Aaron BROWN,9825
carrera 100 m,Torneo de Indonesia,Tyquendo TRACEY,9788
carrera 100 m,Torneo de Indonesia,Zharnel HUGHES,9814
carrera 100 m,Torneo de Indonesia,Shelly-Ann FRASER-PRYCE,9929
carrera 100 m,Torneo de Iran,Twanisha TERRY,9800
carrera 100 m,Torneo de Iran,Teahna DANIELS,9832
carrera 100 m,Torneo de Iran,Elaine THOMPSON,9856
carrera 100 m,Torneo de Iraq,Dafne SCHIPPERS,9830
carrera 100 m,Torneo de Iraq,Dina ASHER-SMITH,9839
carrera 100 m,Torneo de Iraq,Yuki KOIKE,9872
carrera 100 m,Torneo de Ireland,Aaron BROWN,9797
carrera 100 m,Torneo de Ireland,Michael RODGERS,9870
carrera 100 m,Torneo de Ireland,Kiara PARKER,9877
carrera 100 m,Torneo de Israel,Blessing OKAGBARE,9763
carrera 100 m,Torneo de Israel,Michael RODGERS,9765
carrera 100 m,Torneo de Israel,Tebogo MAMATHU,9815
carrera 100 m,Torneo de Italy,Jonielle SMITH,9774
carrera 100 m,Torneo de Italy,Christian COLEMAN,9784
carrera 100 m,Torneo de Italy,Noah LYLES,9818
carrera 100 m,Torneo de Ivory Coast,Tynia GAITHER,9760
carrera 100 m,Torneo de Ivory Coast,Murielle AHOURÉ,9799
carrera 100 m,Torneo de Ivory Coast,Teahna DANIELS,9804
carrera 100 m,Torneo de Jamaica,Mario BURKE,9771
carrera 100 m,Torneo de Jamaica,Yuki KOIKE,9774
carrera 100 m,Torneo de Jamaica,Murielle AHOURÉ,9775
carrera 100 m,Torneo de Japan,Elaine THOMPSON,9773
carrera 100 m,Torneo de Japan,Yohan BLAKE,9782
carrera 100 m,Torneo de Japan,Arthur CISSÉ,9783
carrera 100 m,Torneo de Jordan,Aaron BROWN,9764
carrera 100 m,Torneo de Jordan,Carina HORN,9777
carrera 100 m,Torneo de Jordan,Marie-Josée TA LOU,9787
carrera 100 m,Torneo de Kazakhstan,Andre DE GRASSE,9788
carrera 100 m,Torneo de Kazakhstan,Justin GATLIN,9815
carrera 100 m,Torneo de Kazakhstan,Twanisha TERRY,9829
carrera 100 m,Torneo de Kenya,Aaron BROWN,9766
carrera 100 m,Torneo de Kenya,Michael RODGERS,9829
carrera 100 m,Torneo de Kenya,Noah LYLES,9846
carrera 100 m,Torneo de Kiribati,Kiara PARKER,9797
carrera 100 m,Torneo de Kiribati,Murielle AHOURÉ,9822
carrera 100 m,Torneo de Kiribati,Christian COLEMAN,9853
carrera 100 m,Torneo de Kosovo,Kayla WHITE,9774
carrera 100 m,Torneo de Kosovo,Mujinga KAMBUNDJI,9838
carrera 100 m,Torneo de Kosovo,Yuki KOIKE,9892
carrera 100 m,Torneo de Kuwait,Tebogo MAMATHU,9763
carrera 100 m,Torneo de Kuwait,Andre DE GRASSE,9776
carrera 100 m,Torneo de Kuwait,ShaCarri RICHARDSON,9813
carrera 100 m,Torneo de Kyrgyzstan,Tynia GAITHER,9760
carrera 100 m,Torneo de Kyrgyzstan,Reece PRESCOD,9770
carrera 100 m,Torneo de Kyrgyzstan,Aleia HOBBS,9800
carrera 100 m,Torneo de Laos,Zharnel HUGHES,9781
carrera 100 m,Torneo de Laos,Dafne SCHIPPERS,9790
carrera 100 m,Torneo de Laos,Roberto SKYERS,9845
carrera 100 m,Torneo de Latvia,Marie-Josée TA LOU,9760
carrera 100 m,Torneo de Latvia,ShaCarri RICHARDSON,9769
carrera 100 m,Torneo de Latvia,Andre DE GRASSE,9777
carrera 100 m,Torneo de Lebanon,Michael RODGERS,9760
carrera 100 m,Torneo de Lebanon,Elaine THOMPSON,9769
carrera 100 m,Torneo de Lebanon,Blessing OKAGBARE,9795
carrera 100 m,Torneo de Lesotho,Marie-Josée TA LOU,9786
carrera 100 m,Torneo de Lesotho,Aleia HOBBS,9812
carrera 100 m,Torneo de Lesotho,Divine ODUDURU,9867
carrera 100 m,Torneo de Liberia,Noah LYLES,9764
carrera 100 m,Torneo de Liberia,Justin GATLIN,9766
carrera 100 m,Torneo de Liberia,Tebogo MAMATHU,9773
carrera 100 m,Torneo de Libya,Jonielle SMITH,9766
carrera 100 m,Torneo de Libya,Mujinga KAMBUNDJI,9784
carrera 100 m,Torneo de Libya,Kiara PARKER,9805
carrera 100 m,Torneo de Liechtenstein,Abdul Hakim SANI BROWN,9771
carrera 100 m,Torneo de Liechtenstein,Christian COLEMAN,9868
carrera 100 m,Torneo de Liechtenstein,Kiara GRANT,9875
carrera 100 m,Torneo de Lithuania,Kiara GRANT,9763
carrera 100 m,Torneo de Lithuania,Twanisha TERRY,9790
carrera 100 m,Torneo de Lithuania,Yuki KOIKE,9792
carrera 100 m,Torneo de Luxembourg,Abdul Hakim SANI BROWN,9785
carrera 100 m,Torneo de Luxembourg,Murielle AHOURÉ,9806
carrera 100 m,Torneo de Luxembourg,Briana WILLIAMS,9854
carrera 100 m,Torneo de Macedonia,Isiah YOUNG,9769
carrera 100 m,Torneo de Macedonia,Arthur CISSÉ,9784
carrera 100 m,Torneo de Macedonia,Tyquendo TRACEY,9791
carrera 100 m,Torneo de Madagascar,Noah LYLES,9776
carrera 100 m,Torneo de Madagascar,Michael RODGERS,9813
carrera 100 m,Torneo de Madagascar,Christian COLEMAN,9839
carrera 100 m,Torneo de Malawi,Akani SIMBINE,9825
carrera 100 m,Torneo de Malawi,Marie-Josée TA LOU,9832
carrera 100 m,Torneo de Malawi,Mario BURKE,9859
carrera 100 m,Torneo de Malaysia,Abdul Hakim SANI BROWN,9785
carrera 100 m,Torneo de Malaysia,Reece PRESCOD,9806
carrera 100 m,Torneo de Malaysia,Tebogo MAMATHU,9815
carrera 100 m,Torneo de Maldives,Murielle AHOURÉ,9766
carrera 100 m,Torneo de Maldives,Abdul Hakim SANI BROWN,9770
carrera 100 m,Torneo de Maldives,Yohan BLAKE,9775
carrera 100 m,Torneo de Mali,Abdul Hakim SANI BROWN,9763
carrera 100 m,Torneo de Mali,Tynia GAITHER,9814
carrera 100 m,Torneo de Mali,Roberto SKYERS,9839
carrera 100 m,Torneo de Malta,Justin GATLIN,9776
carrera 100 m,Torneo de Malta,Tebogo MAMATHU,9780
carrera 100 m,Torneo de Malta,Christian COLEMAN,9794
carrera 100 m,Torneo de Marshall Islands,Divine ODUDURU,9779
carrera 100 m,Torneo de Marshall Islands,Abdul Hakim SANI BROWN,9811
carrera 100 m,Torneo de Marshall Islands,Arthur CISSÉ,9837
carrera 100 m,Torneo de Mauritania,Kiara GRANT,9763
carrera 100 m,Torneo de Mauritania,Noah LYLES,9788
carrera 100 m,Torneo de Mauritania,Marie-Josée TA LOU,9812
carrera 100 m,Torneo de Mauritius,Yohan BLAKE,9810
carrera 100 m,Torneo de Mauritius,Shelly-Ann FRASER-PRYCE,9812
carrera 100 m,Torneo de Mauritius,Cravon GILLESPIE,9849
carrera 100 m,Torneo de Mexico,Twanisha TERRY,9799
carrera 100 m,Torneo de Mexico,Akani SIMBINE,9805
carrera 100 m,Torneo de Mexico,Murielle AHOURÉ,9810
carrera 100 m,Torneo de Micronesia,Yohan BLAKE,9770
carrera 100 m,Torneo de Micronesia,Dina ASHER-SMITH,9814
carrera 100 m,Torneo de Micronesia,Carina HORN,9852
carrera 100 m,Torneo de Moldova,Blessing OKAGBARE,9763
carrera 100 m,Torneo de Moldova,Kayla WHITE,9775
carrera 100 m,Torneo de Moldova,Manqi GE,9788
carrera 100 m,Torneo de Monaco,Isiah YOUNG,9791
carrera 100 m,Torneo de Monaco,Yohan BLAKE,9823
carrera 100 m,Torneo de Monaco,Zharnel HUGHES,9851
carrera 100 m,Torneo de Mongolia,Arthur CISSÉ,9772
carrera 100 m,Torneo de Mongolia,Yongli WEI,9779
carrera 100 m,Torneo de Mongolia,Briana WILLIAMS,9789
carrera 100 m,Torneo de Montenegro,Raymond EKEVWO,9767
carrera 100 m,Torneo de Montenegro,Shelly-Ann FRASER-PRYCE,9770
carrera 100 m,Torneo de Montenegro,Aleia HOBBS,9820
carrera 100 m,Torneo de Morocco,Tynia GAITHER,9769
carrera 100 m,Torneo de Morocco,Kiara GRANT,9770
carrera 100 m,Torneo de Morocco,Yuki KOIKE,9844
carrera 100 m,Torneo de Mozambique,Kiara PARKER,9765
carrera 100 m,Torneo de Mozambique,Cravon GILLESPIE,9773
carrera 100 m,Torneo de Mozambique,Aaron BROWN,9781
carrera 100 m,Torneo de Myanmar,Aleia HOBBS,9789
carrera 100 m,Torneo de Myanmar,Cravon GILLESPIE,9807
carrera 100 m,Torneo de Myanmar,Murielle AHOURÉ,9819
carrera 100 m,Torneo de Namibia,Aleia HOBBS,9760
carrera 100 m,Torneo de Namibia,Mujinga KAMBUNDJI,9800
carrera 100 m,Torneo de Namibia,Yongli WEI,9808
carrera 100 m,Torneo de Nauru,Raymond EKEVWO,9776
carrera 100 m,Torneo de Nauru,Kiara GRANT,9792
carrera 100 m,Torneo de Nauru,Isiah YOUNG,9800
carrera 100 m,Torneo de Nepal,Yongli WEI,9787
carrera 100 m,Torneo de Nepal,Christian COLEMAN,9792
carrera 100 m,Torneo de Nepal,Jonielle SMITH,9859
carrera 100 m,Torneo de Netherlands,Mario BURKE,9766
carrera 100 m,Torneo de Netherlands,Aleia HOBBS,9775
carrera 100 m,Torneo de Netherlands,Carina HORN,9781
carrera 100 m,Torneo de New Zealand,Mujinga KAMBUNDJI,9774
carrera 100 m,Torneo de New Zealand,Shelly-Ann FRASER-PRYCE,9775
carrera 100 m,Torneo de New Zealand,Dafne SCHIPPERS,9786
carrera 100 m,Torneo de Nicaragua,Marie-Josée TA LOU,9764
carrera 100 m,Torneo de Nicaragua,Abdul Hakim SANI BROWN,9786
carrera 100 m,Torneo de Nicaragua,Kayla WHITE,9789
carrera 100 m,Torneo de Niger,Reece PRESCOD,9762
carrera 100 m,Torneo de Niger,Elaine THOMPSON,9768
carrera 100 m,Torneo de Niger,Divine ODUDURU,9807
carrera 100 m,Torneo de Nigeria,Abdul Hakim SANI BROWN,9769
carrera 100 m,Torneo de Nigeria,Zharnel HUGHES,9774
carrera 100 m,Torneo de Nigeria,Raymond EKEVWO,9788
carrera 100 m,Torneo de North Korea,Isiah YOUNG,9777
carrera 100 m,Torneo de North Korea,Reece PRESCOD,9820
carrera 100 m,Torneo de North Korea,Cravon GILLESPIE,9833
carrera 100 m,Torneo de Northern Ireland,Mujinga KAMBUNDJI,9764
carrera 100 m,Torneo de Northern Ireland,Elaine THOMPSON,9805
carrera 100 m,Torneo de Northern Ireland,Murielle AHOURÉ,9811
carrera 100 m,Torneo de Norway,Roberto SKYERS,9788
carrera 100 m,Torneo de Norway,Teahna DANIELS,9822
carrera 100 m,Torneo de Norway,Blessing OKAGBARE,9824
carrera 100 m,Torneo de Oman,Akani SIMBINE,9772
carrera 100 m,Torneo de Oman,Kiara PARKER,9791
carrera 100 m,Torneo de Oman,Cravon GILLESPIE,9830
carrera 100 m,Torneo de Pakistan,Abdul Hakim SANI BROWN,9793
carrera 100 m,Torneo de Pakistan,Yuki KOIKE,9798
carrera 100 m,Torneo de Pakistan,Carina HORN,9807
carrera 100 m,Torneo de Palau,Akani SIMBINE,9765
carrera 100 m,Torneo de Palau,Kiara PARKER,9803
carrera 100 m,Torneo de Palau,Isiah YOUNG,9820
carrera 100 m,Torneo de Panama,Michael RODGERS,9764
carrera 100 m,Torneo de Panama,Yuki KOIKE,9777
carrera 100 m,Torneo de Panama,Kayla WHITE,9787
carrera 100 m,Torneo de Papua New Guinea,Kayla WHITE,9782
carrera 100 m,Torneo de Papua New Guinea,ShaCarri RICHARDSON,9785
carrera 100 m,Torneo de Papua New Guinea,Abdul Hakim SANI BROWN,9792
carrera 100 m,Torneo de Paraguay,Marie-Josée TA LOU,9798
carrera 100 m,Torneo de Paraguay,Blessing OKAGBARE,9832
carrera 100 m,Torneo de Paraguay,Yuki KOIKE,9868
carrera 100 m,Torneo de Peru,ShaCarri RICHARDSON,9827
carrera 100 m,Torneo de Peru,Justin GATLIN,9836
carrera 100 m,Torneo de Peru,Christian COLEMAN,9843
carrera 100 m,Torneo de Philippines,Christian COLEMAN,9762
carrera 100 m,Torneo de Philippines,Aaron BROWN,9781
carrera 100 m,Torneo de Philippines,Elaine THOMPSON,9815
carrera 100 m,Torneo de Poland,Yohan BLAKE,9844
carrera 100 m,Torneo de Poland,Tebogo MAMATHU,9845
carrera 100 m,Torneo de Poland,Twanisha TERRY,9864
carrera 100 m,Torneo de Portugal,Aleia HOBBS,9794
carrera 100 m,Torneo de Portugal,Justin GATLIN,9838
carrera 100 m,Torneo de Portugal,Dina ASHER-SMITH,9847
carrera 100 m,Torneo de Puerto Rico,Noah LYLES,9760
